traj_idx,frame,x,y,z
0,0,93.9382409,52.9618211,0.0
0,1,94.4720272,52.3494996,0.0
0,2,94.2907959,52.0041616,0.0
0,3,94.6223821,51.7308509,0.0
0,4,93.9764097,50.947214,0.0
0,5,94.1998626,51.0355025,0.0
0,6,93.9687232,51.066328,0.0
0,7,94.3303662,51.8391308,0.0
0,8,94.3655789,51.0176156,0.0
0,9,94.8875919,50.8617201,0.0
0,10,95.1588943,51.2256623,0.0
1,0,129.7903661,66.8200314,0.0
1,1,129.892256,66.747247,0.0
1,2,129.8412562,66.6216737,0.0
1,3,130.1690413,66.7854692,0.0
1,4,129.95915,66.8719592,0.0
1,5,129.9827226,66.7846649,0.0
1,6,129.8495096,66.8007939,0.0
1,7,129.9352748,66.9773852,0.0
1,8,129.9678551,66.8375183,0.0
1,9,129.8722823,66.9140299,0.0
1,10,129.8799956,66.8099464,0.0
1,11,130.1990097,66.8283426,0.0
1,12,130.2139425,66.6300609,0.0
1,13,130.2208523,66.8941847,0.0
1,14,130.0253974,66.7810349,0.0
1,15,130.1266321,66.8410142,0.0
1,16,130.1415241,66.8388705,0.0
1,17,130.2071081,66.9770422,0.0
1,18,130.2801107,66.7465199,0.0
1,19,130.1321359,66.9733272,0.0
1,20,130.6671612,66.3398977,0.0
1,21,130.1399333,66.8132232,0.0
1,22,130.1196831,66.6708056,0.0
1,23,129.9638106,66.7713833,0.0
1,24,130.1541079,66.5655016,0.0
1,25,130.2169438,66.7437975,0.0
1,26,130.1671635,66.4781204,0.0
1,27,130.175093,66.6974115,0.0
2,7,35.7165521,37.9578956,0.0
2,8,35.177049,38.1466445,0.0
2,9,37.8620782,36.9131274,0.0
2,10,38.1084274,37.0651593,0.0
2,11,35.2663101,42.0912205,0.0
3,0,44.0299713,108.8027081,0.0
3,1,43.8017111,108.9092566,0.0
3,2,43.93139,108.8602901,0.0
3,3,43.9764083,108.3813577,0.0
3,5,43.9907977,108.7927458,0.0
3,7,44.372266,108.7949539,0.0
3,10,38.9159961,106.1586087,0.0
3,11,38.0069186,106.260974,0.0
4,0,43.9573785,46.4074273,0.0
4,1,45.5621117,45.0453841,0.0
4,2,45.2942708,44.1158336,0.0
4,3,42.099468,44.7340666,0.0
5,0,76.9749407,37.0738845,0.0
5,1,75.2467037,36.9915649,0.0
5,2,75.822248,34.0478672,0.0
5,3,77.0176106,32.3946823,0.0
6,0,19.1045986,26.4818914,0.0
6,2,19.9063046,27.1158559,0.0
6,3,26.0755288,27.7922344,0.0
6,6,25.6551966,28.074596,0.0
7,0,72.3527201,26.3978532,0.0
7,1,75.0454016,27.9188512,0.0
8,6,19.863557,104.0722442,0.0
8,7,23.0830186,104.9718846,0.0
9,0,28.8813605,91.8464133,0.0
9,2,25.8739377,88.0259433,0.0
9,4,29.8759555,87.9850764,0.0
10,3,76.6550365,39.8975889,0.0
10,4,75.3575376,44.2950423,0.0
11,7,79.2536635,26.2447945,0.0
11,10,78.8802434,20.8798025,0.0
11,11,82.0858756,25.1378621,0.0
11,12,82.5033062,24.8824962,0.0
